pres.crm_presentation_id__v,external_id__v,name__v,Create Presentation,Type,lifecycle__v,Presentation Link,Fields Only,pres.crm_training__v,pres.crm_hidden__v,pres.product__v.name__v,slide.crm_media_type__v,slide.crm_disable_actions__v,slide.product__v.name__v,slide.filename,slide.crm_shared_resource__v,slide.clm_content__v,pres.clm_content__v,slide.related_shared_resource__v,pres.engage_content__v,slide.engage_content__v,pres.cobrowse_content__v
Orencia-Nudge-5_Acronym_ADD,Orencia-Nudge-5_Acronym_ADD,Orencia-Nudge-5_Acronym,,Presentation,Binder Lifecycle,,,FALSE,TRUE,Orencia,,,,,,,YES,,No,,No
Orencia-Nudge-5_Acronym_MAIN,Orencia-Nudge-5_Acronym_MAIN,Orencia-Nudge-5_Acronym,,Presentation,Binder Lifecycle,,,FALSE,TRUE,Orencia,,,,,,,YES,,No,,No
,Orencia-Nudge-5_Acronym_Shared,Orencia-Nudge-5_Acronym_Shared,FALSE,Shared,CRM Content Lifecycle,,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_Shared.zip,YES,YES,,,,No,
,,Orencia-Nudge-5_Acronym_PI,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_ADD,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_PI.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_REFS,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_ADD,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_REFS.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_000,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_000.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_001,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_001.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_002,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_002.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_003,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_003.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_004,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_004.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_005,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_005.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_006,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_006.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_007,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_007.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_008,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_008.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_009,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_009.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_010,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_010.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_011,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_011.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_012,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_012.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_013,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_013.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
,,Orencia-Nudge-5_Acronym_014,FALSE,Slide,CRM Content Lifecycle,Orencia-Nudge-5_Acronym_MAIN,FALSE,,,,HTML,"Zoom, Swipe",Orencia,Orencia-Nudge-5_Acronym_014.zip,,YES,,Orencia-Nudge-5_Acronym_Shared,,No,
